88:6B:0F:4A:6E:E4    -    SLF-Logger BLE
SerialNr;2005-0076
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;3964.0

Logger State;Stopped
Battery Level;71

Start Time;08. 09. 2022  07:25:07
PC Readout Time;22. 09. 2023  05:51:55
Logger Readout Time;22. 09. 2023  05:50:38
Logger to PC Difference;0d 0h 1min 17sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;9095
15.09.2022 12:25:07;1.4
15.09.2022 13:25:07;1.4
15.09.2022 14:25:07;1.4
15.09.2022 15:25:07;1.2
15.09.2022 16:25:07;1.0
15.09.2022 17:25:07;0.8
15.09.2022 18:25:07;0.8
15.09.2022 19:25:07;0.6
15.09.2022 20:25:07;0.6
15.09.2022 21:25:07;0.4
15.09.2022 22:25:07;0.4
15.09.2022 23:25:07;0.2
16.09.2022 00:25:07;0.2
16.09.2022 01:25:07;0.2
16.09.2022 02:25:07;0.0
16.09.2022 03:25:07;0.0
16.09.2022 04:25:07;0.0
16.09.2022 05:25:07;-0.2
16.09.2022 06:25:07;0.0
16.09.2022 07:25:07;0.0
16.09.2022 08:25:07;0.0
16.09.2022 09:25:07;0.2
16.09.2022 10:25:07;0.4
16.09.2022 11:25:07;1.0
16.09.2022 12:25:07;1.4
16.09.2022 13:25:07;1.2
16.09.2022 14:25:07;1.2
16.09.2022 15:25:07;1.0
16.09.2022 16:25:07;0.8
16.09.2022 17:25:07;0.8
16.09.2022 18:25:07;0.6
16.09.2022 19:25:07;0.6
16.09.2022 20:25:07;0.4
16.09.2022 21:25:07;0.4
16.09.2022 22:25:07;0.2
16.09.2022 23:25:07;0.2
17.09.2022 00:25:07;0.2
17.09.2022 01:25:07;0.0
17.09.2022 02:25:07;0.0
17.09.2022 03:25:07;0.0
17.09.2022 04:25:07;-0.2
17.09.2022 05:25:07;-0.2
17.09.2022 06:25:07;0.0
17.09.2022 07:25:07;0.0
17.09.2022 08:25:07;0.0
17.09.2022 09:25:07;0.2
17.09.2022 10:25:07;0.6
17.09.2022 11:25:07;1.2
17.09.2022 12:25:07;1.4
17.09.2022 13:25:07;1.4
17.09.2022 14:25:07;1.4
17.09.2022 15:25:07;1.0
17.09.2022 16:25:07;1.0
17.09.2022 17:25:07;0.8
17.09.2022 18:25:07;0.6
17.09.2022 19:25:07;0.6
17.09.2022 20:25:07;0.4
17.09.2022 21:25:07;0.4
17.09.2022 22:25:07;0.4
17.09.2022 23:25:07;0.2
18.09.2022 00:25:07;0.2
18.09.2022 01:25:07;0.0
18.09.2022 02:25:07;0.0
18.09.2022 03:25:07;0.0
18.09.2022 04:25:07;0.0
18.09.2022 05:25:07;0.0
18.09.2022 06:25:07;0.0
